No,gpa_post,gpa_prior,rm_avg,rm_diff,or_indorm,gender,major,cohort,semester
26,0.23809523809523808,0.6476190476190476,0.08253968253968254,0.03809523809523809,1,0,5,1,1
26,0.2,0.23809523809523808,0.1015873015873016,0.1714285714285714,2,0,5,1,2
26,0.11428571428571428,0.2,0.27619047619047615,0.4063492063492064,2,0,5,1,3
26,0.2857142857142857,0.11428571428571428,0.22857142857142856,0.3428571428571429,3,0,5,1,4
27,0.009523809523809525,0.05714285714285714,0.2793650793650794,0.380952380952381,4,0,5,1,1
27,0.05714285714285714,0.009523809523809525,0.17777777777777778,0.15873015873015872,4,0,5,1,2
27,0.009523809523809525,0.05714285714285714,0.3238095238095238,0.3746031746031746,4,0,5,1,3
27,0.06666666666666667,0.009523809523809525,0.2634920634920635,0.27301587301587305,4,0,5,1,4
28,0.02857142857142857,0.11428571428571428,0.26031746031746034,0.3936507936507936,2,0,5,1,1
28,0.10476190476190476,0.02857142857142857,0.1714285714285714,0.1714285714285714,3,0,5,1,2
28,0.1523809523809524,0.10476190476190476,0.30793650793650795,0.4063492063492063,3,0,5,1,3
28,0.11428571428571428,0.1523809523809524,0.21587301587301588,0.3428571428571429,2,0,5,1,4
29,0.4,0.10476190476190476,0.5650793650793651,0.5396825396825397,4,0,5,1,1
29,0.4380952380952381,0.4,0.6063492063492063,0.5079365079365079,3,0,5,1,2
29,0.17142857142857143,0.4380952380952381,0.3904761904761904,0.6031746031746031,2,0,5,1,3
29,0.3523809523809524,0.17142857142857143,0.4222222222222222,0.16507936507936505,4,0,5,1,4
30,0.9619047619047619,1.0,0.26666666666666666,0.26666666666666666,1,0,5,1,1
30,0.9428571428571428,0.9619047619047619,0.41904761904761906,0.30476190476190473,1,0,5,1,2
30,0.5428571428571428,0.9428571428571428,0.2222222222222222,0.26666666666666666,1,0,5,1,3
30,0.7523809523809524,0.5428571428571428,0.2984126984126984,0.1714285714285714,1,0,5,1,4
31,0.6571428571428571,0.5047619047619047,0.43174603174603177,0.5968253968253968,2,0,5,1,1
31,0.0380952380952381,0.6571428571428571,0.5206349206349207,0.5079365079365079,2,0,5,1,2
31,0.42857142857142855,0.0380952380952381,0.5238095238095238,0.5015873015873016,4,0,5,1,3
31,0.2761904761904762,0.42857142857142855,0.3365079365079365,0.2476190476190476,2,0,5,1,4
32,0.2,0.19047619047619047,0.5365079365079365,0.5968253968253968,3,0,5,1,1
32,0.19047619047619047,0.2,0.673015873015873,0.3746031746031746,4,0,5,1,2
32,0.29523809523809524,0.19047619047619047,0.47301587301587306,0.6031746031746031,3,0,5,1,3
32,0.24761904761904763,0.29523809523809524,0.38095238095238093,0.2476190476190476,3,0,5,1,4
33,0.47619047619047616,0.638095238095238,0.5333333333333333,0.39365079365079364,3,0,5,1,1
33,0.5619047619047619,0.47619047619047616,0.49523809523809526,0.3746031746031746,2,0,5,1,2
33,0.6761904761904762,0.5619047619047619,0.5428571428571428,0.41904761904761906,2,0,5,1,3
33,0.4095238095238095,0.6761904761904762,0.4063492063492064,0.45714285714285713,2,0,5,1,4
34,0.8666666666666667,0.7047619047619048,0.5111111111111111,0.39365079365079364,2,0,5,1,1
34,0.8952380952380953,0.8666666666666667,0.3650793650793651,0.11428571428571425,1,0,5,1,2
34,0.8095238095238095,0.8952380952380953,0.4317460317460317,0.19682539682539682,1,0,5,1,3
34,0.7904761904761904,0.8095238095238095,0.36190476190476195,0.3682539682539683,1,0,5,1,4
35,0.3047619047619048,0.7428571428571429,0.4984126984126984,0.3682539682539683,1,0,5,1,1
35,0.4666666666666667,0.3047619047619048,0.5523809523809524,0.3682539682539683,4,0,5,1,2
35,0.12380952380952381,0.4666666666666667,0.5746031746031747,0.41904761904761906,3,0,5,1,3
35,0.4857142857142857,0.12380952380952381,0.5904761904761905,0.34920634920634924,4,0,5,1,4
